Address_A,Port_A,Address_B,Port_B,Total_Packets,Total_Bytes,Packets_Forward,Bytes_Forward,Packets_Backward,Bytes_Backward,Rel_Start,Duration,Bits/s_Forward,Bits/s_Backward
192.168.50.15,65443,192.168.50.88,53,4,472,2,152,2,320,229056.9886,899037.8677,0.001352557,0.002847489
192.168.50.15,54814,192.168.50.88,53,4,472,2,152,2,320,577008.6912,1576052.54,0.000771548,0.001624311
192.168.50.18,59665,192.168.50.88,53,4,488,2,160,2,328,93942.12678,972721.9027,0.001315895,0.002697585
192.168.50.88,44144,8.8.8.8,53,3,711,2,144,1,567,126028.942,629683.7309,0.00182949,0.007203616
192.168.50.88,41474,8.8.8.8,53,3,715,2,148,1,567,311380.0783,293746.6222,0.004030685,0.01544188
192.168.50.88,55517,8.8.4.4,53,2,306,1,94,1,212,60725.53539,0.011633,64643.6861,145792.1431
192.168.50.18,59328,192.168.50.88,53,4,488,2,160,2,328,492790.2541,621516.7208,0.002059478,0.00422193
192.168.50.88,48828,8.8.8.8,53,2,440,1,85,1,355,380349.0293,0.02107,32273.37444,134788.7991
192.168.50.15,52903,192.168.50.88,53,2,236,1,76,1,160,449333.8061,0.000219,0,0
192.168.50.88,35026,8.8.4.4,53,1,59,1,59,0,0,479887.881,0,0,0
fe80::f956:19dc:8e16:e81b,54223,ff02::1:3,5355,2,172,2,172,0,0,93867.96232,0.097901,14055.01476,0
192.168.50.88,41189,8.8.8.8,53,3,257,2,171,1,86,118803.6593,391007.4865,0.003498654,0.001759557
fe80::891f:ff8f:8660:beff,59389,ff02::1:3,5355,1,91,1,91,0,0,364413.2905,0,0,0
192.168.50.54,61154,239.255.255.250,1900,4,860,4,860,0,0,402618.501,2.998237,2294.681841,0
192.168.50.15,63953,192.168.50.88,53,8,944,4,304,4,640,503015.2987,2148563.541,0.001131919,0.002382987
192.168.50.54,59896,239.255.255.250,1900,4,860,4,860,0,0,366257.9581,2.9986,2294.404055,0
192.168.50.19,64868,192.168.50.88,53,2,391,1,73,1,318,447836.831,0.009159,63762.41942,277759.5805
192.168.50.18,63260,192.168.50.88,53,4,488,2,160,2,328,414421.6049,418348.1225,0.003059653,0.006272288
192.168.50.88,56959,8.8.8.8,53,1,59,1,59,0,0,478701.3603,0,0,0
192.168.50.88,53870,8.8.4.4,53,2,637,1,70,1,567,484712.1001,0.004549,0,0
192.168.50.54,51944,239.255.255.250,1900,4,860,4,860,0,0,491298.3454,2.997624,2295.151093,0
192.168.50.66,54287,224.0.0.252,5355,2,132,2,132,0,0,458728.2681,0.10306,10246.45837,0
192.168.50.52,60746,192.168.50.88,53,2,548,1,82,1,466,61143.12664,0.056549,11600.55881,65925.12689
fe80::d58e:a29a:c48:dd8f,52656,ff02::1:3,5355,1,91,1,91,0,0,342389.4306,0,0,0
192.168.50.18,56538,192.168.50.88,53,2,244,1,80,1,164,362818.7813,0.000189,0,0
192.168.50.88,59793,8.8.8.8,53,2,242,1,105,1,137,459333.8615,0.011194,75040.19997,97909.59425
192.168.50.16,61410,192.168.50.88,53,4,484,2,158,2,326,572241.1724,2480177.304,0.000509641,0.001051538
fe80::5d54:f84:50ed:8e39,52839,ff02::1:3,5355,2,168,2,168,0,0,3052.006108,0.109262,12300.70839,0
192.168.50.19,62357,192.168.50.88,53,2,400,1,76,1,324,396429.1487,0.074024,8213.552364,35015.67061
fe80::891f:ff8f:8660:beff,58800,ff02::1:3,5355,1,91,1,91,0,0,141211.0197,0,0,0
192.168.50.88,51578,8.8.4.4,53,2,254,1,119,1,135,535282.6544,0.003749,0,0
192.168.50.11,52536,224.0.0.252,5355,1,71,1,71,0,0,237511.6005,0,0,0
192.168.50.18,63350,192.168.50.88,53,4,488,2,160,2,328,576675.9076,572793.124,0.002234664,0.004581061
192.168.50.88,35892,8.8.4.4,53,4,1274,2,140,2,1134,371027.3656,150721.993,0.0074309,0.060190287
192.168.50.14,55347,192.168.50.88,53,2,154,1,77,1,77,13861.89067,10.000493,61.59696327,61.59696327
192.168.50.52,52050,192.168.50.88,53,2,573,1,77,1,496,466279.5297,0.016801,36664.48415,236176.4174
192.168.50.16,55096,192.168.50.88,53,4,484,2,158,2,326,541999.0874,876985.0901,0.001441302,0.002973825
192.168.50.11,56644,224.0.0.252,5355,1,71,1,71,0,0,443613.7583,0,0,0
192.168.50.50,53514,192.168.50.88,53,4,613,2,154,2,459,60187.1798,0.02138,57623.9476,171749.2984
192.168.50.88,60323,8.8.8.8,53,4,296,4,296,0,0,220265.6364,10.010743,236.5458788,0
192.168.50.16,54046,192.168.50.88,53,2,242,1,79,1,163,434476.3106,0.000214,0,0
192.168.50.15,58574,192.168.50.88,53,8,944,4,304,4,640,265965.1068,2526486.448,0.000962602,0.00202653
192.168.50.59,63154,192.168.50.88,53,2,625,1,94,1,531,370701.0864,0.026573,28299.40164,159861.5135
192.168.50.15,55055,192.168.50.88,53,2,236,1,76,1,160,530562.4532,0.000225,0,0
fe80::3403:4993:3b2c:2ae9,52357,ff02::1:3,5355,4,336,4,336,0,0,315166.1897,1098411.864,0.002447169,0
192.168.50.88,54370,8.8.8.8,53,3,363,2,176,1,187,213833.5046,2222498.915,0.000633521,0.000673116
fe80::d58e:a29a:c48:dd8f,52945,ff02::1:3,5355,2,182,2,182,0,0,201074.0958,0.102971,14139.90347,0
192.168.50.88,35154,8.8.4.4,53,4,915,2,193,2,722,453232.3503,24706.31857,0.062494135,0.233786348
192.168.50.88,52034,8.8.8.8,53,4,821,2,154,2,667,561845.0684,511195.8149,0.002410035,0.01043827
192.168.50.88,43681,8.8.4.4,53,1,70,1,70,0,0,408847.4625,0,0,0
192.168.50.54,59434,192.168.50.88,53,2,405,1,89,1,316,512650.3497,0.019667,36202.77625,128540.1943
fe80::785b:9c3b:68b4:aa64,59150,ff02::1:3,5355,1,91,1,91,0,0,513556.1537,0,0,0
192.168.50.16,64949,192.168.50.88,53,2,242,1,79,1,163,148447.0872,0.000187,0,0
192.168.50.88,38648,8.8.8.8,53,2,216,1,92,1,124,555692.1818,0.006616,111245.4641,149939.5386
192.168.50.14,62823,224.0.0.252,5355,2,128,2,128,0,0,2466.082421,0.103024,9939.431589,0
192.168.50.63,50426,192.168.50.88,53,2,389,1,75,1,314,383330.3214,0.013227,45361.76018,189914.5693
192.168.50.88,53064,8.8.8.8,53,6,1162,5,376,1,786,5155.867439,3177142.328,0.000946763,0.001979137
192.168.50.88,47134,8.8.4.4,53,3,940,2,139,1,801,360717.9683,1818209.519,0.000611591,0.003524346
192.168.50.88,46458,8.8.4.4,53,2,889,1,84,1,805,527021.5336,0.004764,0,0
192.168.50.88,34553,8.8.8.8,53,2,895,1,87,1,808,389287.9033,0.012167,57203.91232,531273.1167
192.168.50.88,45276,8.8.4.4,53,3,1103,2,168,1,935,13829.3607,2175788.189,0.000617707,0.003437835
192.168.50.56,60266,192.168.50.88,53,2,466,1,77,1,389,367574.3435,0.035806,17203.82059,86912.80791
192.168.50.88,40198,8.8.8.8,53,2,883,1,81,1,802,398798.3665,0.012139,53381.66242,528544.3612
192.168.50.67,137,192.168.50.255,137,42,4080,42,4080,0,0,2349.795001,58247.58757,0.560366555,0
192.168.50.63,63879,192.168.50.88,53,4,670,2,173,2,497,409620.5161,49212.43053,0.028122976,0.080792596
192.168.50.88,47999,8.8.8.8,53,1,70,1,70,0,0,213905.2187,0,0,0
192.168.50.88,39075,8.8.4.4,53,1,89,1,89,0,0,264445.8841,0,0,0
192.168.50.88,45595,8.8.4.4,53,2,637,1,70,1,567,415784.4598,0.00464,0,0
192.168.50.88,41950,8.8.4.4,53,1,70,1,70,0,0,39614.46178,0,0,0
192.168.50.63,59580,192.168.50.88,53,2,412,1,83,1,329,403107.7241,0.019109,34748.02452,137736.1454
192.168.50.15,50463,192.168.50.88,53,6,708,3,228,3,480,547382.1052,2138040.913,0.000853117,0.001796037
192.168.50.88,54294,8.8.4.4,53,2,294,1,123,1,171,451435.0762,0.011348,86711.31499,120549.8769
192.168.50.19,62852,192.168.50.88,53,2,391,1,73,1,318,500571.029,0.000123,0,0
192.168.50.11,65515,224.0.0.252,5355,3,213,3,213,0,0,810.22011,3050248.878,0.000558643,0
192.168.50.14,57720,224.0.0.252,5355,6,384,6,384,0,0,546767.8966,678334.3446,0.00452874,0
192.168.50.57,62045,192.168.50.88,53,2,473,1,83,1,390,437036.2519,0.219714,3022.110562,14200.27854
192.168.50.57,56221,192.168.50.88,53,2,391,1,82,1,309,57729.53791,0.022792,28782.02878,108459.1084
192.168.50.14,57360,224.0.0.252,5355,2,128,2,128,0,0,225747.7591,0.103727,9872.068024,0
192.168.50.54,49965,239.255.255.250,1900,4,860,4,860,0,0,453018.5453,2.998591,2294.410942,0
192.168.50.88,39943,8.8.8.8,53,1,70,1,70,0,0,372742.9118,0,0,0
192.168.50.15,60819,192.168.50.88,53,2,236,1,76,1,160,444022.5251,0.000219,0,0
192.168.50.50,62686,192.168.50.88,53,4,789,2,178,2,611,61177.51635,0.000514,0,0
192.168.50.54,58529,239.255.255.250,1900,4,860,4,860,0,0,479178.5092,2.998458,2294.512713,0
192.168.50.18,63835,192.168.50.88,53,4,488,2,160,2,328,133544.3044,1199595.426,0.001067026,0.002187404
192.168.50.88,33717,8.8.8.8,53,1,70,1,70,0,0,478696.2138,0,0,0
192.168.50.88,55671,8.8.4.4,53,1,89,1,89,0,0,256008.2432,0,0,0
192.168.50.88,51019,8.8.4.4,53,7,1022,6,455,1,567,97063.87685,1841304.732,0.001976859,0.002463471
fe80::3403:4993:3b2c:2ae9,50747,ff02::1:3,5355,2,168,2,168,0,0,399818.6779,0.097168,13831.71414,0
192.168.50.88,58856,8.8.4.4,53,4,444,2,180,2,264,407209.83,15329.32261,0.093937615,0.137775168
192.168.50.88,60432,8.8.4.4,53,3,715,2,148,1,567,325100.8008,3062878.596,0.000386564,0.00148096
192.168.50.54,57934,239.255.255.250,1900,4,860,4,860,0,0,366137.9899,2.997925,2294.920653,0
192.168.50.88,38660,8.8.4.4,53,2,637,1,70,1,567,409209.7061,0.004849,0,0
192.168.50.88,35540,8.8.4.4,53,2,392,1,132,1,260,9358.043442,0.005545,190441.8395,375112.7142
192.168.50.88,41029,8.8.4.4,53,2,202,1,93,1,109,415440.1413,0.01209,61538.46137,72125.72354
192.168.50.88,40882,8.8.4.4,53,2,288,1,103,1,185,438017.7761,0.022904,35976.24867,64617.53402
192.168.50.88,51928,8.8.8.8,53,2,144,2,144,0,0,75467.29926,364707.3385,0.003158697,0
192.168.50.88,38581,8.8.4.4,53,4,815,3,248,1,567,50236.04335,3395599.296,0.000584286,0.001335847
192.168.50.88,38181,8.8.4.4,53,4,394,2,172,2,222,415437.7619,88096.87385,0.015619169,0.020159626
192.168.50.14,61017,224.0.0.252,5355,2,128,2,128,0,0,399816.1094,0.10415,9831.973119,0
192.168.50.88,55516,8.8.4.4,53,2,637,1,70,1,567,500949.0245,0.004771,0,0
192.168.50.18,61443,224.0.0.252,5355,1,71,1,71,0,0,296485.2944,0,0,0
192.168.50.88,39967,8.8.4.4,53,2,222,1,97,1,125,371894.7384,0.012876,60267.16388,77663.87098
192.168.50.88,59170,8.8.8.8,53,3,378,2,187,1,191,391848.0381,2140495.264,0.000698904,0.000713853
192.168.50.14,64051,224.0.0.252,5355,2,128,2,128,0,0,130650.1245,0.102994,9942.326737,0
192.168.50.88,58579,8.8.4.4,53,2,893,1,86,1,807,435026.5285,0.011798,58314.96853,547211.3908
192.168.50.18,60182,192.168.50.88,53,8,976,4,320,4,656,109363.0543,2031243.035,0.001260312,0.00258364
192.168.50.18,52252,192.168.50.88,53,2,244,1,80,1,164,312656.3212,0.000212,0,0
fe80::3403:4993:3b2c:2ae9,64921,ff02::1:3,5355,2,168,2,168,0,0,130617.5927,0.102676,13089.71912,0
192.168.50.50,54645,192.168.50.88,53,2,413,1,69,1,344,371892.4964,0.004596,0,0
192.168.50.14,50248,224.0.0.252,5355,2,128,2,128,0,0,245687.9711,0.099471,10294.45768,0
192.168.50.88,44139,8.8.4.4,53,2,887,1,83,1,804,401039.3923,0.012306,53957.41919,522671.8678
192.168.50.15,56735,192.168.50.88,53,4,472,2,152,2,320,403363.0433,2361484.35,0.00051493,0.001084064
192.168.50.88,37761,8.8.4.4,53,3,294,2,170,1,124,351086.7713,1699872.804,0.00080006,0.000583573
192.168.50.88,60989,8.8.4.4,53,1,89,1,89,0,0,159.377541,0,0,0
192.168.50.11,54713,224.0.0.252,5355,1,71,1,71,0,0,152011.0821,0,0,0
192.168.50.88,50836,8.8.4.4,53,4,485,2,194,2,291,413749.8075,123287.295,0.012588483,0.018882724
192.168.50.88,53615,8.8.4.4,53,2,288,1,103,1,185,517271.4509,0.034877,23625.88524,42434.84241
fe80::891f:ff8f:8660:beff,57180,ff02::1:3,5355,3,259,3,259,0,0,437313.7217,2521211.108,0.000821827,0
192.168.50.88,58273,8.8.8.8,53,4,296,4,296,0,0,9332.367443,10.010464,236.5524715,0
fe80::d4dc:3c08:8734:3ae5,50116,ff02::1:3,5355,2,174,2,174,0,0,1479.778197,0.106405,13082.09201,0
192.168.50.14,61014,224.0.0.252,5355,2,128,2,128,0,0,438696.7773,0.097789,10471.52542,0
192.168.50.18,61932,224.0.0.252,5355,1,71,1,71,0,0,236178.0611,0,0,0
192.168.50.88,54425,8.8.4.4,53,2,224,1,96,1,128,453846.6284,0.00453,0,0
192.168.50.88,38805,8.8.4.4,53,2,637,1,70,1,567,424281.7162,0.004618,0,0
192.168.50.88,40058,8.8.8.8,53,4,447,2,174,2,273,509822.0382,695599.3035,0.002001152,0.003139739
192.168.50.88,50333,8.8.4.4,53,2,637,1,70,1,567,376748.6866,0.004656,0,0
192.168.50.88,57452,91.189.91.26,80,2089,2506400,945,80896,1144,2425504,759124.0944,3.06092,211429.2435,6339281.001
fe80::2d09:947f:ae6d:36b0,64254,ff02::1:3,5355,1,91,1,91,0,0,517125.6423,0,0,0
192.168.50.14,49750,224.0.0.252,5355,2,128,2,128,0,0,567586.7725,0.098609,10384.44767,0
192.168.50.88,52498,8.8.8.8,53,1,70,1,70,0,0,381769.8374,0,0,0
192.168.50.88,43527,8.8.4.4,53,2,637,1,70,1,567,455103.15,0.004796,0,0
192.168.50.11,50751,224.0.0.252,5355,1,71,1,71,0,0,439113.7327,0,0,0
192.168.50.88,53124,8.8.8.8,53,1,78,1,78,0,0,181414.7052,0,0,0
192.168.50.88,46865,8.8.4.4,53,2,889,1,84,1,805,526225.3287,0.004297,0,0
192.168.50.88,41053,8.8.4.4,53,2,257,1,96,1,161,453846.6368,0.004194,0,0
192.168.50.19,57875,192.168.50.88,53,2,391,1,73,1,318,394299.2537,0.009355,62426.50997,271940.1393
192.168.50.88,56924,8.8.4.4,53,2,637,1,70,1,567,537994.8159,0.004786,0,0
192.168.50.18,51876,192.168.50.88,53,2,244,1,80,1,164,530112.1233,0.000209,0,0
192.168.50.15,52120,192.168.50.88,53,6,708,3,228,3,480,74192.95013,935738.6246,0.001949262,0.00410371
192.168.50.88,54107,8.8.4.4,53,2,885,1,82,1,803,405959.4281,0.011884,55200.2691,540558.7328
192.168.50.15,51755,192.168.50.88,53,6,708,3,228,3,480,181108.7496,2437314.081,0.000748365,0.001575505
192.168.50.19,64124,192.168.50.88,53,2,391,1,73,1,318,371636.7618,0.000259,0,0
192.168.50.14,56479,224.0.0.252,5355,2,128,2,128,0,0,335414.8683,0.106972,9572.598439,0
192.168.50.88,34348,8.8.8.8,53,2,637,1,70,1,567,1550.165865,0.004899,0,0
192.168.50.51,49844,192.168.50.88,53,4,344,3,258,1,86,148.375463,10.000468,206.3903409,68.79678031
192.168.50.88,55523,8.8.8.8,53,3,978,2,173,1,805,271559.9549,612612.1697,0.002259178,0.010512361
192.168.50.14,55578,192.168.50.88,53,2,168,1,84,1,84,361559.8561,10.000519,67.1965125,67.1965125
192.168.50.14,64139,224.0.0.252,5355,2,128,2,128,0,0,438670.7069,0.102542,9986.152021,0
192.168.50.88,44266,8.8.8.8,53,4,296,4,296,0,0,243216.3673,10.007057,236.6330081,0
fe80::785b:9c3b:68b4:aa64,51617,ff02::1:3,5355,2,168,2,168,0,0,4491.511161,0.102318,13135.51868,0
fe80::800:27ff:fe00:0,5353,ff02::fb,5353,17,1819,17,1819,0,0,1459.503323,57599.79598,0.252639784,0
192.168.50.14,59273,224.0.0.252,5355,2,128,2,128,0,0,230385.4633,0.097105,10545.28603,0
192.168.50.18,65134,192.168.50.88,53,2,244,1,80,1,164,419641.9178,0.000209,0,0
192.168.50.88,44049,8.8.4.4,53,2,202,1,93,1,109,424757.0128,0.003581,0,0
192.168.50.14,53478,192.168.50.88,53,2,168,1,84,1,84,121844.3973,10.0006,67.19596824,67.19596824
192.168.50.88,48755,8.8.8.8,53,2,248,1,88,1,160,461669.1631,0.02423,29054.89065,52827.07392
192.168.50.15,57091,192.168.50.88,53,2,236,1,76,1,160,295971.2915,0.000252,0,0
192.168.50.88,40016,8.8.8.8,53,2,889,1,84,1,805,526815.7861,0.015025,44725.45766,428618.9692
192.168.50.88,56623,8.8.4.4,53,2,192,1,88,1,104,437034.5775,0.011585,60768.23463,71817.00457
192.168.50.54,51550,239.255.255.250,1900,4,860,4,860,0,0,382218.234,2.998458,2294.512713,0
192.168.50.88,32964,8.8.4.4,53,2,242,1,105,1,137,536353.3026,0.010968,76586.43294,99927.06012
192.168.50.19,59972,192.168.50.88,53,2,391,1,73,1,318,512738.8997,0.01661,35159.54246,153160.7466
192.168.50.88,54025,91.189.89.199,123,2,180,1,90,1,90,53408.04508,0.145548,4946.821667,4946.821667
192.168.50.14,59130,224.0.0.252,5355,8,512,8,512,0,0,101033.3193,2887147.862,0.001418701,0
192.168.50.88,57558,8.8.4.4,53,2,202,1,93,1,109,457152.4996,0.003743,0,0
192.168.50.88,57436,8.8.4.4,53,2,883,1,81,1,802,451335.1792,0.020391,31778.72587,314648.6191
fe80::3403:4993:3b2c:2ae9,53464,ff02::1:3,5355,2,168,2,168,0,0,201694.1692,0.10281,13072.6583,0
192.168.50.88,60174,8.8.4.4,53,1,92,1,92,0,0,391535.4582,0,0,0
192.168.50.88,52278,8.8.8.8,53,2,883,1,81,1,802,397886.8259,0.004362,0,0
192.168.50.88,49349,8.8.4.4,53,2,881,1,80,1,801,499063.4252,0.00452,0,0
192.168.50.15,59765,192.168.50.88,53,2,236,1,76,1,160,247602.0472,0.000238,0,0
192.168.50.88,55484,8.8.4.4,53,3,726,2,159,1,567,120051.2279,2505156.941,0.000507753,0.001810665
fe80::891f:ff8f:8660:beff,60357,ff02::1:3,5355,3,263,3,263,0,0,92806.22859,60104.85804,0.03500549,0
192.168.50.19,65325,192.168.50.88,53,2,527,1,80,1,447,462569.2867,0.000149,0,0
192.168.50.88,42770,8.8.4.4,53,2,891,1,85,1,806,528949.2313,0.012551,54178.94992,513743.9251
192.168.50.15,53141,192.168.50.88,53,2,236,1,76,1,160,482162.7107,0.00025,0,0
fe80::e14d:8fc5:b840:50b8,65179,ff02::1:3,5355,2,172,2,172,0,0,521119.9335,0.107087,12849.36547,0
192.168.50.15,57368,192.168.50.88,53,2,236,1,76,1,160,105851.8024,0.000506,0,0
192.168.50.18,57998,192.168.50.88,53,4,488,2,160,2,328,479109.4458,952316.9034,0.00134409,0.002755385
192.168.50.88,53694,8.8.4.4,53,2,262,1,85,1,177,495507.491,0.284705,2388.437154,4973.569133
192.168.50.63,50023,192.168.50.88,53,2,412,1,83,1,329,527952.7521,0.018504,35884.13309,142239.5155
192.168.50.18,53827,192.168.50.88,53,6,732,3,240,3,492,293934.4816,2999693.558,0.000640065,0.001312134
192.168.50.14,51317,224.0.0.252,5355,2,128,2,128,0,0,495295.6296,0.096456,10616.23953,0
192.168.50.88,60380,8.8.4.4,53,2,325,1,89,1,236,60097.74545,0.004366,0,0
192.168.50.65,56601,192.168.50.88,53,2,557,1,75,1,482,502696.1687,0.034818,17232.46597,110747.3147
192.168.50.14,49868,224.0.0.252,5355,2,128,2,128,0,0,469986.9637,0.103235,9919.11658,0
192.168.50.88,55935,8.8.4.4,53,2,637,1,70,1,567,377930.4419,0.004507,0,0
192.168.50.18,60577,192.168.50.88,53,6,732,3,240,3,492,357118.6298,2543486.839,0.000754869,0.001547482
192.168.50.88,44538,8.8.4.4,53,2,637,1,70,1,567,490448.948,0.004406,0,0
192.168.50.88,37208,8.8.8.8,53,4,985,2,160,2,825,557259.7377,1963272.043,0.000651973,0.003361735
192.168.50.88,48169,8.8.8.8,53,5,1832,3,206,2,1626,400448.1537,1369244.311,0.001203584,0.009500131
192.168.50.52,51791,224.0.0.252,5355,1,71,1,71,0,0,38100.38588,0,0,0
192.168.50.50,54667,192.168.50.88,53,2,391,1,74,1,317,371893.9826,0.024395,24267.26787,103955.7286
192.168.50.88,37817,8.8.4.4,53,3,286,2,162,1,124,207941.1213,2383614.644,0.000543712,0.000416175
192.168.50.88,51046,8.8.4.4,53,2,436,1,105,1,331,501839.9541,0.004622,0,0
192.168.50.15,59352,192.168.50.88,53,4,472,2,152,2,320,146270.2825,2970.345845,0.409379939,0.861852503
192.168.50.88,59784,8.8.4.4,53,2,242,1,105,1,137,515401.3636,0.003832,0,0
192.168.50.88,52086,8.8.4.4,53,3,977,2,172,1,805,10522.97349,2883037.005,0.000477274,0.002233756
192.168.50.88,47303,8.8.8.8,53,2,885,1,82,1,803,366415.7587,0.011794,55621.5025,544683.7379
192.168.50.15,52895,192.168.50.88,53,2,236,1,76,1,160,348061.1346,0.000197,0,0
192.168.50.88,37196,8.8.4.4,53,2,883,1,81,1,802,504479.5053,0.004464,0,0
192.168.50.88,52185,8.8.4.4,53,2,887,1,83,1,804,376589.1039,0.025974,25564.02557,247632.2477
192.168.50.15,60927,192.168.50.88,53,4,472,2,152,2,320,121396.4108,415737.6443,0.002924922,0.00615773
192.168.50.18,63216,192.168.50.88,53,4,488,2,160,2,328,507910.7964,152469.9823,0.008395095,0.017209945
192.168.50.88,57930,8.8.4.4,53,3,973,2,171,1,802,303707.7467,2269632.583,0.000602741,0.002826889
fe80::d58e:a29a:c48:dd8f,56090,ff02::1:3,5355,1,91,1,91,0,0,337889.1394,0,0,0
192.168.50.59,57624,192.168.50.88,53,2,435,1,79,1,356,370488.9893,0.035331,17887.97374,80609.09685
192.168.50.14,64762,224.0.0.252,5355,2,128,2,128,0,0,543835.5355,0.097828,10467.35085,0
192.168.50.88,44216,8.8.8.8,53,1,70,1,70,0,0,199480.8004,0,0,0
192.168.50.18,61096,224.0.0.252,5355,1,71,1,71,0,0,56157.87529,0,0,0
192.168.50.50,54583,224.0.0.252,5355,1,71,1,71,0,0,372790.4288,0,0,0
192.168.50.16,65340,224.0.0.252,5355,2,132,2,132,0,0,7570.191445,0.107661,9808.565776,0
192.168.50.11,63002,224.0.0.252,5355,1,71,1,71,0,0,93510.75076,0,0,0
fe80::2d09:947f:ae6d:36b0,60410,ff02::1:3,5355,2,168,2,168,0,0,60607.95436,0.107662,12483.51322,0
192.168.50.88,43007,8.8.8.8,53,2,170,2,170,0,0,311376.486,79819.10661,0.017038527,0
192.168.50.88,41381,8.8.8.8,53,4,1023,3,221,1,802,255705.1267,718704.8245,0.002459981,0.00892717
192.168.50.88,33439,8.8.4.4,53,2,481,1,73,1,408,512623.5556,0.011199,52147.51317,291454.5941
192.168.50.11,53337,224.0.0.252,5355,1,71,1,71,0,0,542614.5925,0,0,0
192.168.50.88,36505,8.8.8.8,53,8,672,6,468,2,204,178480.6174,902023.9529,0.004150666,0.001809265
192.168.50.18,55164,192.168.50.88,53,6,732,3,240,3,492,130364.2541,1717245.818,0.001118069,0.002292042
192.168.50.88,37079,8.8.4.4,53,2,889,1,84,1,805,520126.5369,0.004525,0,0
192.168.50.88,34199,8.8.4.4,53,3,973,2,171,1,802,45990.74284,2622907.771,0.000521559,0.00244614
192.168.50.88,36019,8.8.4.4,53,4,296,4,296,0,0,466684.1441,10.010766,236.5453353,0
192.168.50.50,51235,192.168.50.88,53,4,649,2,164,2,485,60652.25447,0.000697,0,0
192.168.50.88,56652,8.8.4.4,53,3,942,2,140,1,802,180856.7529,1904073.194,0.000588213,0.003369618
192.168.50.88,42340,8.8.4.4,53,2,637,1,70,1,567,53149.89988,0.005175,108212.5603,876521.7382
192.168.50.88,59703,8.8.8.8,53,1,70,1,70,0,0,416072.0899,0,0,0
fe80::891f:ff8f:8660:beff,59880,ff02::1:3,5355,3,273,3,273,0,0,197911.3423,2986363.125,0.000731324,0
192.168.50.11,50732,224.0.0.252,5355,3,213,3,213,0,0,35910.42185,1377084.408,0.001237397,0
192.168.50.88,37142,8.8.4.4,53,2,436,1,105,1,331,370439.5318,0.013302,63148.39871,199067.8093
192.168.50.18,56994,192.168.50.88,53,4,488,2,160,2,328,482409.5871,246134.6925,0.005200405,0.01066083
192.168.50.15,64636,192.168.50.88,53,2,236,1,76,1,160,205324.5102,0.000267,0,0
192.168.50.88,34414,8.8.8.8,53,3,275,2,151,1,124,306651.8132,1212801.191,0.000996041,0.000817941
192.168.50.88,54281,8.8.4.4,53,4,827,2,157,2,670,371893.829,43446.24516,0.028909288,0.123370846
192.168.50.88,40124,8.8.4.4,53,1,89,1,89,0,0,442255.326,0,0,0
192.168.50.108,60451,192.168.50.88,53,4,308,2,154,2,154,38406.74757,10.00048,123.1940867,123.1940867
192.168.50.18,58009,192.168.50.88,53,8,976,4,320,4,656,341337.844,2719416.194,0.000941379,0.001929826
192.168.50.88,45820,8.8.8.8,53,2,188,1,86,1,102,464213.9838,0.003901,0,0
192.168.50.14,56034,224.0.0.252,5355,4,256,4,256,0,0,299427.7585,1192401.695,0.001717542,0
192.168.50.88,42540,8.8.8.8,53,5,1164,3,235,2,929,365534.8937,1926388.185,0.00097592,0.003857997
192.168.50.88,50638,8.8.8.8,53,3,269,2,182,1,87,394487.1512,115367.1227,0.01262058,0.006032915
192.168.50.18,58853,192.168.50.88,53,4,488,2,160,2,328,564135.2834,1143006.574,0.001119854,0.0022957
192.168.50.18,55959,224.0.0.252,5355,2,142,2,142,0,0,477405.0915,0.103005,11028.59085,0
192.168.50.88,43610,8.8.4.4,53,2,242,1,100,1,142,371894.2595,0.037292,21452.3222,30462.29753
192.168.50.19,56600,192.168.50.88,53,4,791,2,149,2,642,457851.3398,23388.20622,0.050965858,0.219597859
192.168.50.18,56519,192.168.50.88,53,2,244,1,80,1,164,99762.40793,0.000199,0,0
192.168.50.19,63278,192.168.50.88,53,2,527,1,80,1,447,498588.2109,0.010097,63385.16397,354164.6037
fe80::785b:9c3b:68b4:aa64,64277,ff02::1:3,5355,1,91,1,91,0,0,524313.0587,0,0,0
fe80::891f:ff8f:8660:beff,61655,ff02::1:3,5355,1,91,1,91,0,0,452613.8088,0,0,0
192.168.50.88,48245,8.8.4.4,53,1,92,1,92,0,0,9.706747,0,0,0
192.168.50.15,51022,192.168.50.88,53,4,472,2,152,2,320,168206.2068,664446.8024,0.001830094,0.003852829
192.168.50.88,39800,8.8.8.8,53,1,89,1,89,0,0,174199.7856,0,0,0
192.168.50.18,54245,224.0.0.252,5355,1,71,1,71,0,0,211875.4218,0,0,0
fe80::891f:ff8f:8660:beff,54904,ff02::1:3,5355,1,91,1,91,0,0,129510.9524,0,0,0
fe80::e14d:8fc5:b840:50b8,59253,ff02::1:3,5355,2,172,2,172,0,0,12835.19484,0.105869,12997.19465,0
192.168.50.13,55064,224.0.0.252,5355,2,132,2,132,0,0,93849.06898,0.105166,10041.26809,0
192.168.50.15,52404,192.168.50.88,53,8,944,4,304,4,640,281658.3191,2431069.906,0.001000383,0.002106069
192.168.50.88,44915,8.8.4.4,53,3,975,2,172,1,803,128607.1746,3259372.226,0.000422167,0.001970932
192.168.50.15,52875,192.168.50.88,53,2,236,1,76,1,160,230197.3863,0.00021,0,0
